Cement %,Iron Ore %,Fine Aggregate %,WFS %,Load,Area
70.0,30,50.0,50,18000,17000
60.0,40,90.0,10,53000,17000
,0,,0,88000,17000
60.0,40,90.0,10,41000,17000
70.0,30,60.0,40,39000,17000
60.0,40,90.0,10,46000,17000
60.0,40,50.0,50,18000,17000
50.0,50,90.0,10,32000,17000
,0,,0,76000,17000
70.0,30,90.0,10,49000,17000
50.0,50,90.0,10,44000,17000
50.0,50,90.0,10,38000,17000
70.0,30,80.0,20,46000,17000
70.0,30,60.0,40,30000,17000
50.0,50,80.0,20,28000,17000
70.0,30,90.0,10,56000,17000
50.0,50,50.0,50,19000,17000
60.0,40,70.0,30,19000,17000
70.0,30,90.0,10,63000,17000
50.0,50,70.0,30,20000,17000
50.0,50,80.0,20,36000,17000
60.0,40,70.0,30,34000,17000
50.0,50,60.0,40,19000,17000
70.0,30,60.0,40,37000,17000
60.0,40,70.0,30,27000,17000
60.0,40,80.0,20,28000,17000
,0,,0,72000,17000
60.0,40,80.0,20,29000,17000
70.0,30,70.0,30,35000,17000
50.0,50,50.0,50,21000,17000
70.0,30,50.0,50,36000,17000
60.0,40,50.0,50,26000,17000
50.0,50,70.0,30,27000,17000
